U,solver,solve_time_s,admitted,objective,avg_latency_ms,avg_energy_mJ,total_latency_ms,total_energy_mJ,feasible
5,proposed_two_stage,0.0008,1,0.996768,3.125,0.1067,3.125,0.1067,True
5,random,0.0007,1,0.998006,1.8873,0.1067,1.8873,0.1067,True
5,greedy_latency,0.0006,1,0.998006,1.8873,0.1067,1.8873,0.1067,True
5,greedy_energy,0.0005,1,0.996768,3.125,0.1067,3.125,0.1067,True
5,latency_only,0.0007,1,0.998113,1.8873,0.1067,1.8873,0.1067,True
5,energy_only,0.001,1,0.999893,3.125,0.1067,3.125,0.1067,True
10,proposed_two_stage,0.0013,2,1.984704,6.5985,1.0493,13.197,2.0987,True
10,random,0.0003,0,0.0,0.0,0.0,0.0,0.0,True
10,greedy_latency,0.0015,2,1.995288,2.1844,0.1717,4.3687,0.3435,True
10,greedy_energy,0.0015,2,1.989827,4.9146,0.1717,9.8291,0.3435,True
10,latency_only,0.0011,2,1.986803,6.5985,1.0493,13.197,2.0987,True
10,energy_only,0.001,2,1.997901,6.5985,1.0493,13.197,2.0987,True
15,proposed_two_stage,0.002,3,2.987674,3.7749,0.3337,11.3248,1.0012,True
15,random,0.0016,3,2.967393,10.1096,0.7593,30.3288,2.2779,False
15,greedy_latency,0.0023,4,3.972786,6.0439,0.7596,24.1757,3.0384,False
15,greedy_energy,0.0017,4,3.905536,22.8564,0.7596,91.4255,3.0384,False
15,latency_only,0.0017,3,2.988207,3.931,0.3123,11.7931,0.9368,True
15,energy_only,0.0015,3,2.998999,3.7749,0.3337,11.3248,1.0012,True
20,proposed_two_stage,0.0023,5,4.972112,4.9812,0.5963,24.9059,2.9817,True
20,random,0.0075,3,2.964427,10.309,1.5486,30.927,4.6457,False
20,greedy_latency,0.0089,7,6.819635,22.2083,3.558,155.4584,24.9062,False
20,greedy_energy,0.0181,7,6.619225,50.9519,3.4445,356.6636,24.1112,False
20,latency_only,0.002,4,3.975081,6.2297,1.0246,24.9189,4.0983,True
20,energy_only,0.0023,5,4.997018,4.9812,0.5963,24.9059,2.9817,True
30,proposed_two_stage,0.0027,2,1.987838,5.5096,0.5716,11.0192,1.1431,True
30,random,0.0048,4,3.963422,8.1865,0.9579,32.7461,3.8316,False
30,greedy_latency,0.0064,9,8.86146,13.6527,1.7406,122.8739,15.6656,False
30,greedy_energy,0.0257,9,8.564574,46.4803,1.9003,418.3231,17.1024,False
30,latency_only,0.0027,4,3.969462,7.6344,1.2056,30.5377,4.8224,True
30,energy_only,0.0029,2,1.998857,5.5096,0.5716,11.0192,1.1431,True
40,proposed_two_stage,0.0032,4,3.968909,6.7938,0.979,27.175,3.9158,True
40,random,0.0265,6,5.882946,17.1484,2.3606,102.8905,14.1636,False
40,greedy_latency,0.0183,8,7.889545,11.9429,1.8639,95.5435,14.9116,False
40,greedy_energy,0.0262,8,7.690771,36.8355,1.8181,294.6839,14.5449,False
40,latency_only,0.0042,5,4.958257,8.3485,1.2563,41.7427,6.2813,True
40,energy_only,0.0022,4,3.996084,6.7938,0.979,27.175,3.9158,True
50,proposed_two_stage,0.003,5,4.967239,6.0243,0.5279,30.1213,2.6397,True
50,random,0.0112,7,6.889489,12.2522,3.5351,85.7654,24.7455,False
50,greedy_latency,0.0217,14,13.634904,22.878,3.2003,320.2922,44.8043,False
50,greedy_energy,0.0255,14,12.871292,76.9583,3.6637,1077.4166,51.2913,False
50,latency_only,0.0065,5,4.960569,7.8861,0.5139,39.4306,2.5695,True
50,energy_only,0.0028,5,4.99736,6.0243,0.5279,30.1213,2.6397,True
75,proposed_two_stage,0.0042,7,6.939129,8.1027,0.5932,56.7189,4.1525,True
75,random,0.0042,8,7.874281,14.5475,1.1674,116.3798,9.3392,False
75,greedy_latency,0.027,16,15.560096,24.4943,2.9997,391.9085,47.9956,False
75,greedy_energy,0.0489,16,14.70388,77.9091,3.0984,1246.5455,49.5744,False
75,latency_only,0.0032,5,4.96179,7.6419,0.642,38.2096,3.21,True
75,energy_only,0.0041,7,6.995848,8.1027,0.5932,56.7189,4.1525,True
100,proposed_two_stage,0.0047,9,8.924057,7.7189,0.7192,69.4704,6.4725,True
100,random,0.015,11,10.865448,11.1004,1.1316,122.1048,12.4472,False
100,greedy_latency,0.0551,25,24.164557,29.8149,3.6028,745.3725,90.0701,False
100,greedy_energy,0.1055,25,22.501037,96.8531,3.1054,2421.3287,77.6343,False
100,latency_only,0.0039,6,5.95724,7.1267,0.469,42.7603,2.8141,True
100,energy_only,0.0048,9,8.993527,7.7189,0.7192,69.4704,6.4725,True
